date,price,prev_position,new_position,position_change,trade_value_usd,trade_cost_usd,equity_before,daily_pnl,equity_after_trade,current_dd_pct,peak_equity,regime_trend,regime_volatility,regime_momentum,regime_mean_rev,regime_code,weighted_signal,BBSqueeze_signal,BBSqueeze_conf,BBSqueeze_reason,DonchianBreakout_signal,DonchianBreakout_conf,DonchianBreakout_reason,KeltnerBreakout_signal,KeltnerBreakout_conf,KeltnerBreakout_reason,Ichimoku_signal,Ichimoku_conf,Ichimoku_reason,ParabolicSAR_signal,ParabolicSAR_conf,ParabolicSAR_reason,TrendEnsemble_signal,TrendEnsemble_conf,TrendEnsemble_reason,RORO_signal,RORO_conf,RORO_reason,weight_changes,w_BBSqueeze,w_DonchianBreakout,w_KeltnerBreakout,w_Ichimoku,w_ParabolicSAR,w_TrendEnsemble,w_RORO
2001-02-09,47.64,0.0,-0.51,-0.51,237338.11,72.38,465454.47,0.0,465382.1,8.26,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.51,-1,0.8,"Breakout DOWN, momentum=-2.40",-1,0.62,Break below 20d low=$49.48,-1,0.7,"Below Keltner lower=$47.77, ATR=$2.45",-1,0.5,"Below cloud, price=$47.64",-1,0.6,"Downtrend, SAR=$56.29, EP=$47.30",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=41.3%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-02-12,48.21,-0.51,0.0,0.51,235842.28,71.63,462520.94,-2861.15,462449.31,8.84,507376.45,BEAR,CRISIS,DECELERATING,OVERSOLD,DC-S,-0.124,0,0.2,"No clear signal, momentum=-1.88",0,0.3,"Within channel, position=8.2%",0,0.3,"Within Keltner channel, EMA=$52.25",-1,0.5,"Below cloud, price=$48.21",-1,0.6,"Downtrend, SAR=$55.57, EP=$46.98",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=41.3%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS],0.199,0.199,0.119,0.08,0.04,0.08,0.284
2001-02-13,46.67,0.0,-0.489,-0.489,225943.8,69.4,462449.31,0.0,462379.92,8.85,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.489,-1,0.68,"Breakout DOWN, momentum=-2.04",-1,0.52,Break below 20d low=$46.98,-1,0.7,"Below Keltner lower=$46.72, ATR=$2.50",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$50.93",-1,0.6,"Downtrend, SAR=$54.71, EP=$46.44",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=42.3%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-02-14,48.52,-0.489,0.0,0.489,221514.89,67.13,453384.47,-8995.45,453317.34,10.64,507376.45,STRONG_BEAR,CRISIS,DECELERATING,NEUTRAL,SDC-N,-0.142,0,0.2,"No clear signal, momentum=-1.33",0,0.3,"Within channel, position=17.5%",0,0.3,"Within Keltner channel, EMA=$51.41",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$50.43",-1,0.6,"Downtrend, SAR=$52.48, EP=$45.71",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=43.5%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%; DD=10.6%: pos*0.75,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-02-20,44.76,0.0,-0.313,-0.313,141889.14,44.23,453317.34,0.0,453273.11,10.65,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.417,-1,0.6,"Breakout DOWN, momentum=-1.79",-1,0.55,Break below 20d low=$45.71,-1,0.7,"Below Keltner lower=$45.09, ATR=$2.55",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$48.06",-1,0.6,"Downtrend, SAR=$51.09, EP=$44.17",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=45.4%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%; DD=10.7%: pos*0.75,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-02-21,43.5,-0.313,-0.419,-0.106,48268.2,15.2,457262.39,3989.28,457247.19,9.88,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.419,-1,0.62,"Breakout DOWN, momentum=-1.85",-1,0.53,Break below 20d low=$44.17,-1,0.7,"Below Keltner lower=$44.45, ATR=$2.56",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$47.48",-1,0.6,"Downtrend, SAR=$50.95, EP=$43.01",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=44.2%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-02-22,43.08,-0.419,-0.331,0.088,40316.37,12.74,459105.44,1858.25,459092.7,9.51,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.331,-1,0.57,"Breakout DOWN, momentum=-1.72",0,0.3,"Within channel, position=0.4%",-1,0.7,"Below Keltner lower=$43.75, ATR=$2.60",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$46.19",-1,0.6,"Downtrend, SAR=$50.64, EP=$41.29",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=44.2%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-02-23,43.23,-0.331,0.0,0.331,151665.73,47.88,458556.73,-535.97,458508.86,9.62,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.142,0,0.2,"No clear signal, momentum=-1.49",0,0.3,"Within channel, position=12.0%",0,0.3,"Within Keltner channel, EMA=$48.40",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$45.91",-1,0.6,"Downtrend, SAR=$50.07, EP=$40.74",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=43.5%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-02-27,41.39,0.0,-0.325,-0.325,148974.42,47.79,458508.86,0.0,458461.06,9.63,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.325,-1,0.54,"Breakout DOWN, momentum=-1.63",0,0.3,"Within channel, position=3.9%",-1,0.7,"Below Keltner lower=$42.19, ATR=$2.58",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$45.91",-1,0.6,"Downtrend, SAR=$48.64, EP=$40.74",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=45.2%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-02-28,40.08,-0.325,-0.412,-0.087,40460.11,13.14,463173.02,4711.96,463159.88,8.71,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.412,-1,0.59,"Breakout DOWN, momentum=-1.76",-1,0.52,Break below 20d low=$40.74,-1,0.7,"Below Keltner lower=$41.36, ATR=$2.65",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$45.34",-1,0.6,"Downtrend, SAR=$48.01, EP=$39.58",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=45.3%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-03-01,41.22,-0.412,0.0,0.412,188704.91,60.63,457727.35,-5432.53,457666.72,9.79,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.142,0,0.2,"No clear signal, momentum=-1.36",0,0.3,"Within channel, position=9.2%",0,0.3,"Within Keltner channel, EMA=$46.14",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$43.34",-1,0.6,"Downtrend, SAR=$47.17, EP=$38.64",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=47.4%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-03-02,39.44,0.0,-0.326,-0.326,149122.2,48.73,457666.72,0.0,457617.99,9.8,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.326,-1,0.55,"Breakout DOWN, momentum=-1.65",0,0.3,"Within channel, position=4.8%",-1,0.7,"Below Keltner lower=$40.05, ATR=$2.73",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$42.86",-1,0.6,"Downtrend, SAR=$44.47, EP=$38.56",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=47.4%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-03-05,40.16,-0.326,0.0,0.326,148222.03,48.1,454904.01,-2713.98,454855.92,10.34,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.142,0,0.2,"No clear signal, momentum=-1.33",0,0.3,"Within channel, position=9.7%",0,0.3,"Within Keltner channel, EMA=$45.00",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$42.11",-1,0.6,"Downtrend, SAR=$43.24, EP=$38.56",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=46.5%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%; DD=10.3%: pos*0.75,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-03-09,38.09,0.0,-0.303,-0.303,137707.37,45.62,454855.92,0.0,454810.3,10.35,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.404,-1,0.54,"Breakout DOWN, momentum=-1.63",-1,0.52,Break below 20d low=$38.56,-1,0.7,"Below Keltner lower=$38.35, ATR=$2.58",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$40.98",-1,0.6,"Downtrend, SAR=$42.63, EP=$37.97",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=53.8%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%; DD=10.4%: pos*0.75,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-03-12,35.73,-0.303,-0.439,-0.136,63159.51,21.47,463358.9,8548.6,463337.43,8.68,507376.45,STRONG_BEAR,CRISIS,DECELERATING,OVERSOLD,SDC-S,-0.439,-1,0.66,"Breakout DOWN, momentum=-1.99",-1,0.6,Break below 20d low=$37.97,-1,0.7,"Below Keltner lower=$37.57, ATR=$2.60",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$39.05",-1,0.6,"Downtrend, SAR=$41.98, EP=$35.31",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=55.8%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%,0.189,0.152,0.114,0.061,0.03,0.076,0.379
2001-03-13,37.54,-0.439,0.0,0.439,198891.9,66.27,452997.49,-10339.94,452931.22,10.72,507376.45,STRONG_BEAR,CRISIS,DECELERATING,NEUTRAL,SDC-N,-0.142,0,0.2,"No clear signal, momentum=-1.36",0,0.3,"Within channel, position=14.2%",0,0.3,"Within Keltner channel, EMA=$42.27",-1,0.8,"Below cloud, TK cross bearish, Tenkan=$39.05",-1,0.6,"Downtrend, SAR=$42.40, EP=$35.31",-1,1.0,"Trend DOWN, avg_signal=-1.00, agreement=1.00",0,1.0,"RISK-OFF, score=7/7, vol=59.7%",BBSqueeze: 25%->18%; DonchianBreakout: 25%->18%; KeltnerBreakout: 15%->10%; Ichimoku: 10%->7%; ParabolicSAR: 5%->3%; TrendEnsemble: 10%->7%; RORO: 10%->25% [CRISIS]; DonchianBreakout: 18%->14% [BEAR]; Ichimoku: 7%->6% [BEAR]; RORO: 25%->35%; DD=10.7%: pos*0.75,0.189,0.152,0.114,0.061,0.03,0.076,0.379
